"gene name" "logFC"	"P.Value"	"adj.P.Val"
"RPL37A"	2.72313065986867	7.73204860012551e-06	9.85451134334721e-05
"ZNF697"	3.24917088475978	7.80794639042158e-06	9.90359183911212e-05
"KMT2C"	2.78099157649933	7.83247494621871e-06	9.90359183911212e-05
"JRK"	2.40908152228161	7.86346787651421e-06	9.90363532951534e-05
"SCRT2"	4.17777697717018	8.04301038931292e-06	0.000100900353864361
"HCN2"	-3.00818358620386	8.1291697185649e-06	0.000101424467857456
"OXSR1"	2.34088135583446	8.14819888695414e-06	0.000101424467857456
"PIK3C2B"	2.3185445567041	8.34168902563259e-06	0.000102686683690767
"ARMH4"	3.83647521742264	8.34504594021442e-06	0.000102686683690767
"LMNB2"	2.62994493806713	8.34590114398231e-06	0.000102686683690767
"AGO4"	3.66987774966354	8.49836234013483e-06	0.000103517510636452
"LAMC1"	2.41240684237284	8.50527306701256e-06	0.000103517510636452
"NID1"	3.39995926712129	8.51050493822657e-06	0.000103517510636452
"FCHSD2"	2.38109477361085	8.6487636270332e-06	0.000104800738041209
"ANP32A"	2.52610726050116	8.85465044352477e-06	0.00010689066705221
"RPS13"	3.57505052305573	8.97076809430079e-06	0.000107885289976196
"EPS8"	3.43578620064062	9.04547078682018e-06	0.000108376258603138
"RPL27A"	2.77727858584317	9.28160350357882e-06	0.000110114444789795
"LUC7L"	2.82031560239751	9.29950700946492e-06	0.000110114444789795
"KANSL2"	2.39795583870408	9.32275935431073e-06	0.000110114444789795
"PDCD11"	2.33640015363402	9.32823211567195e-06	0.000110114444789795
"RN7SL2"	3.35503331307397	9.40528080764897e-06	0.000110611083089563
"LSM7"	2.28985966137886	9.46172292350835e-06	0.000110611083089563
"MT3"	-3.64906669490759	9.47403462536427e-06	0.000110611083089563
"OBSCN"	3.12769208847372	9.50918976142563e-06	0.000110617811079275
"PNN"	2.38537393258373	9.60251698116703e-06	0.000111042443057906
"CC2D2A"	2.73648806458338	9.61511620101276e-06	0.000111042443057906
"CHSY1"	2.37303674209842	9.6985320897008e-06	0.000111602892643715
"RPS23"	2.85297486431965	9.78862262168906e-06	0.000112235855794922
"RBM3"	2.27460232301519	1.00076997160067e-05	0.000114296627637262
"FANCG"	2.50476593839125	1.00398100550393e-05	0.000114296627637262
"CROCCP3"	2.27765316094928	1.01622507448878e-05	0.000114960280729405
"LPCAT1"	2.20826301666947	1.01699779451146e-05	0.000114960280729405
"CEND1"	-2.57370368317393	1.0362170709109e-05	0.000116565472803851
"RSF1"	2.72728655338651	1.0384857689621e-05	0.000116565472803851
"ZC3H4"	2.11179164720106	1.04653045688588e-05	0.000117057724880347
"LOC100128398"	2.66223235536791	1.0560260699648e-05	0.000117552757849089
"ATP6V0A2"	2.66018132797455	1.0583055411234e-05	0.000117552757849089
"SF3B3"	2.12541018948848	1.06459768850986e-05	0.000117842491541282
"MB21D2"	3.36209710402529	1.07741991471117e-05	0.000118715646979407
"HMGN1"	3.42931964232203	1.07990788593334e-05	0.000118715646979407
"PLAGL2"	2.25003352084754	1.10040936653266e-05	0.000120555122038972
"RNF152"	3.43580441647361	1.12093130889221e-05	0.000122384274987924
"H1-0"	2.51855298872427	1.12770541078681e-05	0.000122582932665611
"INTS4"	2.35923901882514	1.13041466509394e-05	0.000122582932665611
"ARVCF"	2.31287077611032	1.158813078195e-05	0.000125237940444116
"COL4A1"	3.79927410225859	1.18524632228009e-05	0.000127374572801561
"SOCS7"	2.39460564137956	1.18654650499735e-05	0.000127374572801561
"EFHD2"	-3.52143999133617	1.20341537684639e-05	0.000128649123268761
"IRS1"	2.71742302820664	1.20966633100131e-05	0.000128649123268761
"FRMD4B"	3.41446631783142	1.21676870926974e-05	0.000128649123268761
"TP53RK"	2.78398353128388	1.22349702421905e-05	0.000128649123268761
"DCAF12"	2.59366049875834	1.22360577488202e-05	0.000128649123268761
"RPL7A"	2.73355540123049	1.22867916304634e-05	0.000128649123268761
"MED12"	2.3464147604671	1.23090336901256e-05	0.000128649123268761
"GFOD2"	2.6203457008175	1.23456013586623e-05	0.000128649123268761
"CCNG2"	2.88181816910271	1.23530597448387e-05	0.000128649123268761
"RTL6"	2.44924152204628	1.24105103416899e-05	0.000128649123268761
"TMSB4X"	2.57531316868626	1.24475919070472e-05	0.000128649123268761
"UBTD2"	3.63078148742532	1.24667796853128e-05	0.000128649123268761
"FANCF"	2.54926538570909	1.26412552974115e-05	0.000130030146933825
"IFT140"	2.03800578693869	1.27312317239817e-05	0.000130535930400697
"POLE"	3.31649123594936	1.28081550773895e-05	0.000130905073778176
"CHST10"	2.09994519161181	1.28980421786281e-05	0.000131403939265705
"STAG1"	2.83666689925059	1.30577653716784e-05	0.000132279819821423
"RBMX"	3.55070136466893	1.30667155559768e-05	0.000132279819821423
"GABPB1-IT1"	2.86190241115433	1.31606414145674e-05	0.000132810384495903
"SEMA3A"	3.71656199848004	1.34144270170863e-05	0.000134945761093267
"SFPQ"	3.02165409946358	1.36426410369829e-05	0.000136811312468051
"QSER1"	3.69815337488416	1.37976129507336e-05	0.000137933011966865
"FABP5"	3.36532036041042	1.39691254558992e-05	0.000138861801618109
"MPPED1"	2.9779367260481	1.39773367055427e-05	0.000138861801618109
"ZNF696"	1.97245867703761	1.41293006267516e-05	0.000139936943359066
"LIX1L"	2.59122834219828	1.4443398166197e-05	0.000142606267696494
"ZNF496"	2.06247678324554	1.45341637849376e-05	0.000142862301650975
"SOBP"	2.54826215672103	1.46122692452919e-05	0.000142862301650975
"SNRNP200"	2.1910369714273	1.46464374085038e-05	0.000142862301650975
